cat cut
ankle uncle
ran run
drank drunk
match much
work walk
bird bored
fur four
shirt short
sir saw
bit beat
ship sheep
it eat
hit heat
bin bean
live leave
not note
boat bought
not nought
pull pool
ban van
best vest
vow bow
vote boat
very berry
vet bet
cheap jeep
choose shoes
cheap sheep
watch wash
match mash
catch cash
den then
down town
dart tart
die tie
jot yacht
jet yet
joke yolk
jam yam
hard heart
hack hag
think thing
sank sang
bank bang
rink ring
sunk sung
seep sheep
seat sheet
sour shower
sell shell
sip ship
sock shock
cell shell
save shave
sin thin
sink think
sick thick
thigh sigh
said zed
sink zinc
sap zap
sue zoo
place plays
rice rise
ice eyes
cab cap
ban pan
bee pea
pin bin
pay bay
peach beach
park bark
pig big
path bath
heart hard
plate played
bet bed
bought bored
hurt heard
dry thigh
dare there
den then
dough though
